3,,,,
10000,,,,
0,,,,
2,,,,
5,,,,
4,,,,
4 20,,,,
1,1,1,1,
0,,,,
AND,,,,
130,,,,
1,3,490.3,1050, Seizure
3,3,552.3,205, Seizure
5,4,782.066667,73, Seizure
7,4,783.766667,400, Seizure
16,8,1495.8,1700, Seizure
26,23,4682.433333,2770, Seizure
33,26,5234.433333,725, Seizure
56,50,10259.61667,560, Seizure
69,57,11708.93333,1060, Seizure
85,66,13514.01667,590, Seizure
88,68,13785.1,100, Ask
90,68,13855.68333,580, Seizure
92,69,14079.1,412, Seizure
98,71,14534.43333,72, Seizure
108,78,16051.03333,40, Seizure
112,92,18905.08333,110, Seizure
113,97,19766.66667,70, Seizure
118,102,20944.96667,79, Seizure
120,104,21285.93333,220, Seizure
122,105,21401.65,70, Ask
124,107,21817.95,92, Seizure
